id_edad,edad_anos,edad_rango,id_edad_rango
1,0,0-4,1
2,1,0-4,1
3,2,0-4,1
4,3,0-4,1
5,4,0-4,1
6,5,5-9,2
7,6,5-9,2
8,7,5-9,2
9,8,5-9,2
10,9,5-9,2
11,10,10-14,3
12,11,10-14,3
13,12,10-14,3
14,13,10-14,3
15,14,10-14,3
16,15,15-19,4
17,16,15-19,4
18,17,15-19,4
19,18,15-19,4
20,19,15-19,4
21,20,20-24,5
22,21,20-24,5
23,22,20-24,5
24,23,20-24,5
25,24,20-24,5
26,25,25-29,6
27,26,25-29,6
28,27,25-29,6
29,28,25-29,6
30,29,25-29,6
31,30,30-34,7
32,31,30-34,7
33,32,30-34,7
34,33,30-34,7
35,34,30-34,7
36,35,35-39,8
37,36,35-39,8
38,37,35-39,8
39,38,35-39,8
40,39,35-39,8
41,40,40-44,9
42,41,40-44,9
43,42,40-44,9
44,43,40-44,9
45,44,40-44,9
46,45,45-49,10
47,46,45-49,10
48,47,45-49,10
49,48,45-49,10
50,49,45-49,10
51,50,50-54,11
52,51,50-54,11
53,52,50-54,11
54,53,50-54,11
55,54,50-54,11
56,55,55-59,12
57,56,55-59,12
58,57,55-59,12
59,58,55-59,12
60,59,55-59,12
61,60,60-64,13
62,61,60-64,13
63,62,60-64,13
64,63,60-64,13
65,64,60-64,13
66,65,65-69,14
67,66,65-69,14
68,67,65-69,14
69,68,65-69,14
70,69,65-69,14
71,70,70-74,15
72,71,70-74,15
73,72,70-74,15
74,73,70-74,15
75,74,70-74,15
76,75,75-79,16
77,76,75-79,16
78,77,75-79,16
79,78,75-79,16
80,79,75-79,16
81,80,80-84,17
82,81,80-84,17
83,82,80-84,17
84,83,80-84,17
85,84,80-84,17
86,85,85+,18
87,86,85+,18
88,87,85+,18
89,88,85+,18
90,89,85+,18
91,90,85+,18
92,91,85+,18
93,92,85+,18
94,93,85+,18
95,94,85+,18
96,95,85+,18
97,96,85+,18
98,97,85+,18
99,98,85+,18
100,99,85+,18
101,100,85+,18
102,101,85+,18
103,102,85+,18
104,103,85+,18
105,104,85+,18
106,105,85+,18
107,106,85+,18
108,107,85+,18
109,108,85+,18
110,109,85+,18
111,110,85+,18
112,111,85+,18
113,112,85+,18
114,113,85+,18
115,114,85+,18
116,115,85+,18
117,116,85+,18
118,117,85+,18
119,118,85+,18
120,119,85+,18
121,120,85+,18
122,121,85+,18
123,122,85+,18
124,123,85+,18
125,124,85+,18
126,125,85+,18
127,126,85+,18
128,127,85+,18
129,128,85+,18
130,129,85+,18
131,130,85+,18
