id_geografia,cve_geo,entidad,municipio,abreviatura_entidad,latitud,longitud
1,1001,AGUASCALIENTES,AGUASCALIENTES,AS,21.5247362,-102.1745768
2,1002,AGUASCALIENTES,ASIENTOS,AS,22.1417941,-102.052139
3,1003,AGUASCALIENTES,CALVILLO,AS,21.5048866,-102.4307502
4,1004,AGUASCALIENTES,COSÍO,AS,22.2159071,-102.1800159
10,1010,AGUASCALIENTES,EL LLANO,AS,21.5507929,-101.5755106
5,1005,AGUASCALIENTES,JESÚS MARÍA,AS,21.5740582,-102.2036299
12,1999,AGUASCALIENTES,NO ESPECIFICADO,AS,,
6,1006,AGUASCALIENTES,PABELLÓN DE ARTEAGA,AS,22.0857126,-102.163555
7,1007,AGUASCALIENTES,RINCÓN DE ROMOS,AS,22.1345239,-102.1923047
11,1011,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,AS,22.0420615,-102.1621642
8,1008,AGUASCALIENTES,SAN JOSÉ DE GRACIA,AS,22.0900779,-102.2456281
9,1009,AGUASCALIENTES,TEPEZALÁ,AS,22.132722,-102.1001097
13,2001,BAJA CALIFORNIA,ENSENADA,BC,31.4832198,-116.3542482
14,2002,BAJA CALIFORNIA,MEXICALI,BC,32.3828233,-115.2832084
18,2999,BAJA CALIFORNIA,NO ESPECIFICADO,BC,,
17,2005,BAJA CALIFORNIA,PLAYAS DE ROSARITO,BC,32.2149263,-117.0316052
2505,2007,BAJA CALIFORNIA,SAN FELIPE,BC,,
2504,2006,BAJA CALIFORNIA,SAN QUINTÍN,BC,30.3323347,-115.5620621
15,2003,BAJA CALIFORNIA,TECATE,BC,32.3421644,-116.3735581
16,2004,BAJA CALIFORNIA,TIJUANA,BC,32.3156859,-117.0108088
19,3001,BAJA CALIFORNIA SUR,COMONDÚ,BS,25.0204688,-111.4024022
21,3003,BAJA CALIFORNIA SUR,LA PAZ,BS,24.0855482,-110.1823724
23,3009,BAJA CALIFORNIA SUR,LORETO,BS,26.0046,-111.2036
22,3008,BAJA CALIFORNIA SUR,LOS CABOS,BS,23.0341729,-109.4141097
20,3002,BAJA CALIFORNIA SUR,MULEGÉ,BS,27.2012726,-112.1605789
24,3999,BAJA CALIFORNIA SUR,NO ESPECIFICADO,BS,,
34,4010,CAMPECHE,CALAKMUL,CC,18.3019335,-89.2350192
25,4001,CAMPECHE,CALKINÍ,CC,20.2216414,-90.0302662
26,4002,CAMPECHE,CAMPECHE,CC,19.5041331,-90.3222737
35,4011,CAMPECHE,CANDELARIA,CC,18.1100422,-91.0246657
27,4003,CAMPECHE,CARMEN,CC,18.3816042,-91.501122
28,4004,CAMPECHE,CHAMPOTÓN,CC,19.2122387,-90.4326008
2507,4013,CAMPECHE,DZITBALCHÉ,CC,,
33,4009,CAMPECHE,ESCÁRCEGA,CC,18.3615533,-90.4355203
29,4005,CAMPECHE,HECELCHAKÁN,CC,20.1037078,-90.0804262
30,4006,CAMPECHE,HOPELCHÉN,CC,19.4443973,-89.5042157
36,4999,CAMPECHE,NO ESPECIFICADO,CC,,
31,4007,CAMPECHE,PALIZADA,CC,18.1512954,-92.0527246
2506,4012,CAMPECHE,SEYBAPLAYA,CC,19.3821109,-90.4117884
32,4008,CAMPECHE,TENABO,CC,20.0222837,-90.1332748
87,7001,CHIAPAS,ACACOYAGUA,CS,15.2027475,-92.4028622
88,7002,CHIAPAS,ACALA,CS,16.3306025,-92.482703
89,7003,CHIAPAS,ACAPETAHUA,CS,15.1658216,-92.4120875
198,7113,CHIAPAS,ALDAMA,CS,16.5504144,-92.4117491
90,7004,CHIAPAS,ALTAMIRANO,CS,16.4409313,-92.0218937
92,7006,CHIAPAS,AMATENANGO DE LA FRONTERA,CS,15.2606038,-92.0654568
93,7007,CHIAPAS,AMATENANGO DEL VALLE,CS,16.3142605,-92.2607766
91,7005,CHIAPAS,AMATÁN,CS,17.2222254,-92.4908843
94,7008,CHIAPAS,ANGEL ALBINO CORZO,CS,15.522152,-92.4330287
95,7009,CHIAPAS,ARRIAGA,CS,16.1409834,-93.5358104
96,7010,CHIAPAS,BEJUCAL DE OCAMPO,CS,15.2719415,-92.0930265
97,7011,CHIAPAS,BELLA VISTA,CS,15.3458791,-92.1441445
199,7114,CHIAPAS,BENEMÉRITO DE LAS AMÉRICAS,CS,16.3056981,-90.3911887
98,7012,CHIAPAS,BERRIOZÁBAL,CS,16.4801155,-93.1623777
99,7013,CHIAPAS,BOCHIL,CS,16.594698,-92.5324788
101,7015,CHIAPAS,CACAHOATÁN,CS,14.5923239,-92.1005197
205,7120,CHIAPAS,CAPITÁN LUIS ÁNGEL VIDAL,CS,15.360406,-92.3744751
102,7016,CHIAPAS,CATAZAJÁ,CS,17.4341957,-92.0058918
108,7022,CHIAPAS,CHALCHIHUITÁN,CS,16.5748257,-92.3706223
109,7023,CHIAPAS,CHAMULA,CS,16.4715,-92.4121
110,7024,CHIAPAS,CHANAL,CS,16.3936223,-92.1535792
111,7025,CHIAPAS,CHAPULTENANGO,CS,17.2025442,-93.0748282
112,7026,CHIAPAS,CHENALHÓ,CS,16.5339397,-92.3734133
113,7027,CHIAPAS,CHIAPA DE CORZO,CS,16.4228649,-93.0057453
114,7028,CHIAPAS,CHIAPILLA,CS,16.3413775,-92.431209
115,7029,CHIAPAS,CHICOASÉN,CS,16.5802118,-93.0618846
116,7030,CHIAPAS,CHICOMUSELO,CS,15.444177,-92.1659834
117,7031,CHIAPAS,CHILÓN,CS,17.0619769,-92.1617502
103,7017,CHIAPAS,CINTALAPA,CS,16.4155256,-93.4313541
104,7018,CHIAPAS,COAPILLA,CS,17.0750849,-93.0932479
