estado,anio_mes,latitud,longitud,temp_max,temp_min,temp_app_max,temp_app_min,lluvia_acumulada,evapotranspiracion
Aguascalientes,2020-01,21.8823,-102.2826,21.07,7.07,17.78,4.27,19.2,107.61
Aguascalientes,2020-02,21.8823,-102.2826,23.83,8.61,21.26,5.79,19.3,127.41
Aguascalientes,2020-03,21.8823,-102.2826,28.65,12.91,26.91,11.16,1.1,180.41
Aguascalientes,2020-04,21.8823,-102.2826,30.67,14.22,27.68,11.51,1.7,221.84
Aguascalientes,2020-05,21.8823,-102.2826,29.52,13.87,27.69,12.02,20.5,207.36
Aguascalientes,2020-06,21.8823,-102.2826,29.25,15.39,28.98,15.14,60.7,175.14
Aguascalientes,2020-07,21.8823,-102.2826,26.67,14.88,27.28,15.19,129.2,154.78
Aguascalientes,2020-08,21.8823,-102.2826,26.31,14.7,26.39,14.5,52.7,149.08
Aguascalientes,2020-09,21.8823,-102.2826,25.88,13.97,25.5,13.39,61.0,137.96
Aguascalientes,2020-10,21.8823,-102.2826,27.9,12.05,25.89,9.76,2.4,169.9
Aguascalientes,2020-11,21.8823,-102.2826,25.72,9.91,22.89,7.15,0.0,136.23
Aguascalientes,2020-12,21.8823,-102.2826,22.25,7.47,18.68,4.55,2.6,118.42
Aguascalientes,2021-01,21.8823,-102.2826,22.64,6.68,19.08,3.36,1.2,126.26
Aguascalientes,2021-02,21.8823,-102.2826,25.62,8.22,22.04,4.75,0.0,151.93
Aguascalientes,2021-03,21.8823,-102.2826,28.79,10.78,25.93,7.73,0.0,201.17
Aguascalientes,2021-04,21.8823,-102.2826,30.06,12.72,26.93,9.65,0.1,220.59
Aguascalientes,2021-05,21.8823,-102.2826,29.58,14.53,28.37,13.18,12.7,196.57
Aguascalientes,2021-06,21.8823,-102.2826,25.96,14.63,25.65,14.24,139.7,147.52
Aguascalientes,2021-07,21.8823,-102.2826,24.41,14.22,25.47,14.19,178.0,132.34
Aguascalientes,2021-08,21.8823,-102.2826,25.84,14.44,26.29,14.17,119.0,151.6
Aguascalientes,2021-09,21.8823,-102.2826,23.06,14.04,24.33,14.0,135.5,110.43
Aguascalientes,2021-10,21.8823,-102.2826,24.35,11.85,24.17,10.61,38.9,124.17
Aguascalientes,2021-11,21.8823,-102.2826,23.17,8.08,21.25,5.61,0.5,118.96
Aguascalientes,2021-12,21.8823,-102.2826,22.79,6.98,20.26,4.25,1.6,110.87
Aguascalientes,2022-01,21.8823,-102.2826,22.38,7.29,19.04,4.38,1.2,120.45
Aguascalientes,2022-02,21.8823,-102.2826,23.45,7.54,20.82,4.46,8.3,132.27
Aguascalientes,2022-03,21.8823,-102.2826,27.17,9.39,23.77,5.78,0.0,204.96
Aguascalientes,2022-04,21.8823,-102.2826,29.7,12.77,27.45,10.21,15.0,204.96
Aguascalientes,2022-05,21.8823,-102.2826,31.98,15.27,30.18,13.24,4.1,225.95
Aguascalientes,2022-06,21.8823,-102.2826,28.95,15.15,28.22,14.62,18.3,181.66
Aguascalientes,2022-07,21.8823,-102.2826,26.69,14.15,27.9,14.12,104.2,163.61
Aguascalientes,2022-08,21.8823,-102.2826,25.41,13.74,26.88,13.71,116.2,151.71
Aguascalientes,2022-09,21.8823,-102.2826,24.75,12.88,24.64,12.01,68.2,132.63
Aguascalientes,2022-10,21.8823,-102.2826,25.49,11.34,24.31,9.82,23.0,135.66
Aguascalientes,2022-11,21.8823,-102.2826,24.61,9.47,22.27,7.35,9.3,123.5
Aguascalientes,2022-12,21.8823,-102.2826,22.91,7.32,19.62,4.47,1.1,118.52
Aguascalientes,2023-01,21.8823,-102.2826,23.01,6.65,19.35,3.61,0.0,131.2
Aguascalientes,2023-02,21.8823,-102.2826,25.21,8.69,22.24,5.43,0.0,146.51
Aguascalientes,2023-03,21.8823,-102.2826,28.51,10.85,25.31,7.82,0.0,200.61
Aguascalientes,2023-04,21.8823,-102.2826,29.38,12.88,26.27,10.08,2.8,212.6
Aguascalientes,2023-05,21.8823,-102.2826,30.1,14.55,27.78,12.79,3.3,216.76
Aguascalientes,2023-06,21.8823,-102.2826,33.54,17.07,31.96,15.73,12.9,229.92
Aguascalientes,2023-07,21.8823,-102.2826,28.68,15.31,28.71,15.35,63.1,185.78
Aguascalientes,2023-08,21.8823,-102.2826,28.03,15.37,28.07,15.14,83.5,169.86
Aguascalientes,2023-09,21.8823,-102.2826,29.49,15.01,28.97,14.33,11.4,171.89
Aguascalientes,2023-10,21.8823,-102.2826,25.58,13.18,24.75,12.22,46.7,131.87
Aguascalientes,2023-11,21.8823,-102.2826,23.77,9.68,21.99,7.67,64.7,112.44
Aguascalientes,2023-12,21.8823,-102.2826,18.75,6.84,16.46,4.46,42.0,80.51
Aguascalientes,2024-01,21.8823,-102.2826,23.03,7.81,18.78,5.11,0.6,123.41
Aguascalientes,2024-02,21.8823,-102.2826,23.67,7.98,20.72,5.19,44.3,129.55
Aguascalientes,2024-03,21.8823,-102.2826,28.44,10.22,24.09,7.03,0.0,209.04
Aguascalientes,2024-04,21.8823,-102.2826,30.46,13.39,26.99,10.54,0.0,220.74
Aguascalientes,2024-05,21.8823,-102.2826,34.22,17.63,31.77,15.09,2.4,243.9
Aguascalientes,2024-06,21.8823,-102.2826,30.42,17.33,29.88,17.04,122.9,188.34
Aguascalientes,2024-07,21.8823,-102.2826,24.7,14.68,26.71,14.9,208.8,142.75
Aguascalientes,2024-08,21.8823,-102.2826,26.42,14.43,27.23,14.23,92.0,158.89
Aguascalientes,2024-09,21.8823,-102.2826,25.34,14.62,26.37,14.56,95.2,133.88
Aguascalientes,2024-10,21.8823,-102.2826,25.6,11.49,23.84,9.79,15.1,143.34
Aguascalientes,2024-11,21.8823,-102.2826,26.49,10.82,24.43,9.05,0.1,128.67
Aguascalientes,2024-12,21.8823,-102.2826,23.08,8.34,20.78,5.82,3.7,112.6
Aguascalientes,2025-01,21.8823,-102.2826,22.12,8.38,18.93,5.55,13.2,114.23
Aguascalientes,2025-02,21.8823,-102.2826,26.23,10.24,23.62,7.49,0.0,141.33
