municipio,anio,temp_max,temp_min,temp_app_max,temp_app_min,lluvia_acumulada,evapotranspiracion,latitud,longitud
Abejones,2020,15.02,7.25,14.74,4.95,664.7,475.68,17.2608708,-96.3629427
Abejones,2021,14.65,7.04,14.49,4.89,697.7,468.33,17.2608708,-96.3629427
Abejones,2022,14.98,6.76,14.38,4.41,585.8,484.38,17.2608708,-96.3629427
Abejones,2023,15.76,7.62,15.59,5.7,527.0,504.34,17.2608708,-96.3629427
Abejones,2024,16.92,8.2,16.44,6.22,474.5,534.86,17.2608708,-96.3629427
Abejones,2025,15.93,6.64,15.35,4.79,740.2,491.62,17.2608708,-96.3629427
Abejones,2026,15.82,5.56,15.26,3.36,305.9,256.42,17.2608708,-96.3629427
Acatlán de Pérez Figueroa,2020,29.87,21.38,34.54,24.56,915.5,556.36,18.3218828,-96.3627396
Acatlán de Pérez Figueroa,2021,29.67,21.39,34.4,24.74,876.7,553.68,18.3218828,-96.3627396
Acatlán de Pérez Figueroa,2022,29.92,20.78,34.71,23.7,1047.4,559.96,18.3218828,-96.3627396
Acatlán de Pérez Figueroa,2023,31.07,21.78,36.4,25.26,687.2,593.89,18.3218828,-96.3627396
Acatlán de Pérez Figueroa,2024,31.32,21.71,36.58,25.1,844.4,590.45,18.3218828,-96.3627396
Acatlán de Pérez Figueroa,2025,30.26,21.14,35.04,24.31,1017.2,580.18,18.3218828,-96.3627396
Acatlán de Pérez Figueroa,2026,30.02,20.43,34.06,23.41,458.9,289.79,18.3218828,-96.3627396
Asunción Cacalotepec,2020,25.06,17.86,27.55,19.03,815.2,491.1,17.0206951,-95.5723622
Asunción Cacalotepec,2021,24.75,17.73,27.46,19.1,912.0,469.34,17.0206951,-95.5723622
Asunción Cacalotepec,2022,25.04,17.43,27.55,18.52,795.5,497.59,17.0206951,-95.5723622
Asunción Cacalotepec,2023,26.38,18.47,29.38,20.07,577.7,538.2,17.0206951,-95.5723622
Asunción Cacalotepec,2024,27.51,18.54,30.17,19.92,634.9,579.53,17.0206951,-95.5723622
Asunción Cacalotepec,2025,26.63,17.31,29.05,18.63,761.1,541.33,17.0206951,-95.5723622
Asunción Cacalotepec,2026,25.78,16.4,27.88,17.55,419.5,264.27,17.0206951,-95.5723622
Asunción Cuyotepeji,2020,21.47,9.43,20.59,8.02,289.1,586.29,17.5551242,-97.4027669
Asunción Cuyotepeji,2021,20.98,9.23,20.24,7.84,369.5,570.36,17.5551242,-97.4027669
Asunción Cuyotepeji,2022,21.54,8.91,20.45,7.4,271.1,602.15,17.5551242,-97.4027669
Asunción Cuyotepeji,2023,22.67,9.67,22.05,8.52,271.0,617.45,17.5551242,-97.4027669
Asunción Cuyotepeji,2024,23.54,9.84,22.8,8.65,324.0,643.55,17.5551242,-97.4027669
Asunción Cuyotepeji,2025,21.92,9.4,21.34,8.49,279.5,597.35,17.5551242,-97.4027669
Asunción Cuyotepeji,2026,22.51,8.83,21.26,7.66,230.0,307.49,17.5551242,-97.4027669
Asunción Ixtaltepec,2020,31.53,24.26,33.54,25.98,191.9,820.75,16.3013823,-95.0325362
Asunción Ixtaltepec,2021,30.89,23.97,33.07,25.88,686.9,766.03,16.3013823,-95.0325362
Asunción Ixtaltepec,2022,31.06,23.88,33.21,25.67,434.1,785.56,16.3013823,-95.0325362
Asunción Ixtaltepec,2023,32.68,24.91,35.02,27.2,266.3,847.24,16.3013823,-95.0325362
Asunción Ixtaltepec,2024,31.47,24.32,34.17,26.72,834.1,775.65,16.3013823,-95.0325362
Asunción Ixtaltepec,2025,31.83,24.5,33.74,25.87,509.6,848.84,16.3013823,-95.0325362
Asunción Ixtaltepec,2026,31.77,23.8,32.69,24.64,244.8,447.41,16.3013823,-95.0325362
Asunción Nochixtlán,2020,24.13,11.96,23.65,11.52,259.1,623.1,17.2732171,-97.1330715
Asunción Nochixtlán,2021,23.71,11.69,23.39,11.3,396.7,601.08,17.2732171,-97.1330715
Asunción Nochixtlán,2022,24.12,11.44,23.62,10.93,255.8,628.53,17.2732171,-97.1330715
Asunción Nochixtlán,2023,25.45,12.53,25.45,12.43,247.1,649.68,17.2732171,-97.1330715
Asunción Nochixtlán,2024,26.33,12.67,26.09,12.6,296.8,679.87,17.2732171,-97.1330715
Asunción Nochixtlán,2025,24.56,12.25,24.63,12.3,303.3,636.65,17.2732171,-97.1330715
Asunción Nochixtlán,2026,25.06,11.6,24.53,11.44,178.5,333.6,17.2732171,-97.1330715
Asunción Ocotlán,2020,29.3,14.77,29.47,15.19,200.3,693.35,16.4533045,-96.4316772
Asunción Ocotlán,2021,28.95,14.6,29.06,15.07,238.1,685.32,16.4533045,-96.4316772
Asunción Ocotlán,2022,29.35,14.19,29.35,14.44,182.4,713.7,16.4533045,-96.4316772
Asunción Ocotlán,2023,30.72,15.41,30.85,16.09,113.4,741.31,16.4533045,-96.4316772
Asunción Ocotlán,2024,30.49,15.23,30.83,15.85,225.4,735.98,16.4533045,-96.4316772
Asunción Ocotlán,2025,29.48,14.86,29.84,15.59,285.5,707.41,16.4533045,-96.4316772
Asunción Ocotlán,2026,29.71,13.87,29.54,14.35,154.9,368.08,16.4533045,-96.4316772
Asunción Tlacolulita,2020,31.13,22.03,33.14,22.73,518.3,780.74,16.1800947,-95.4334699
Asunción Tlacolulita,2021,30.67,21.58,32.66,22.63,555.5,744.54,16.1800947,-95.4334699
Asunción Tlacolulita,2022,30.55,21.53,32.63,22.18,538.6,769.04,16.1800947,-95.4334699
Asunción Tlacolulita,2023,31.99,22.26,34.34,23.76,382.3,768.12,16.1800947,-95.4334699
Asunción Tlacolulita,2024,31.11,21.34,33.69,22.98,716.1,714.57,16.1800947,-95.4334699
Asunción Tlacolulita,2025,31.3,21.53,33.46,22.83,460.0,756.8,16.1800947,-95.4334699
Asunción Tlacolulita,2026,31.63,21.08,32.76,21.6,247.0,406.21,16.1800947,-95.4334699
Ayoquezco de Aldama,2020,26.66,13.4,26.2,13.23,250.3,665.06,16.4108396,-96.5035212
Ayoquezco de Aldama,2021,26.37,13.18,25.8,13.13,232.9,662.0,16.4108396,-96.5035212
Ayoquezco de Aldama,2022,26.79,12.73,26.14,12.41,163.1,692.42,16.4108396,-96.5035212
Ayoquezco de Aldama,2023,28.16,13.89,27.62,14.01,163.7,719.54,16.4108396,-96.5035212
Ayoquezco de Aldama,2024,28.16,13.78,27.82,13.87,207.4,705.65,16.4108396,-96.5035212
Ayoquezco de Aldama,2025,27.31,13.19,27.05,13.4,248.8,683.05,16.4108396,-96.5035212
Ayoquezco de Aldama,2026,27.56,12.07,26.76,11.95,162.5,356.46,16.4108396,-96.5035212
Ayotzintepec,2020,21.56,12.69,23.64,12.8,1287.2,462.72,17.4036151,-96.0759775
Ayotzintepec,2021,21.25,12.64,23.41,12.82,1239.9,449.17,17.4036151,-96.0759775
Ayotzintepec,2022,21.43,12.25,23.5,12.29,1086.3,473.34,17.4036151,-96.0759775
Ayotzintepec,2023,22.35,13.11,24.82,13.34,997.9,506.49,17.4036151,-96.0759775
Ayotzintepec,2024,23.38,13.19,25.93,13.36,845.6,525.43,17.4036151,-96.0759775
Ayotzintepec,2025,22.38,13.07,24.38,13.42,1200.7,505.87,17.4036151,-96.0759775
Ayotzintepec,2026,21.23,11.78,23.05,11.84,603.1,243.79,17.4036151,-96.0759775
Calihualá,2020,17.94,7.55,17.71,5.6,532.1,506.73,17.3158287,-98.1642154
Calihualá,2021,17.48,7.21,17.21,5.42,710.0,485.08,17.3158287,-98.1642154
Calihualá,2022,17.66,6.91,17.32,5.03,596.3,502.33,17.3158287,-98.1642154
Calihualá,2023,18.27,7.55,18.41,6.0,617.6,510.5,17.3158287,-98.1642154
Calihualá,2024,18.85,7.9,18.63,6.18,600.7,533.79,17.3158287,-98.1642154
Calihualá,2025,17.93,7.7,17.79,6.16,547.6,495.76,17.3158287,-98.1642154
Calihualá,2026,18.56,7.23,18.17,5.69,207.3,260.46,17.3158287,-98.1642154
Candelaria Loxicha,2020,28.88,27.18,33.81,30.24,336.7,683.36,15.5534804,-96.2930908
Candelaria Loxicha,2021,28.51,26.8,33.4,30.0,422.3,657.7,15.5534804,-96.2930908
Candelaria Loxicha,2022,28.61,26.8,33.41,29.67,349.8,688.81,15.5534804,-96.2930908
Candelaria Loxicha,2023,29.53,27.52,34.66,31.07,187.2,713.88,15.5534804,-96.2930908
Candelaria Loxicha,2024,28.78,26.64,33.6,29.95,500.8,647.76,15.5534804,-96.2930908
Candelaria Loxicha,2025,29.08,26.73,34.14,30.02,400.6,665.89,15.5534804,-96.2930908
Candelaria Loxicha,2026,29.07,26.74,33.75,29.77,185.3,354.89,15.5534804,-96.2930908
Capulálpam de Méndez,2020,23.13,12.65,24.16,12.12,599.2,534.36,17.1823115,-96.2645527
Capulálpam de Méndez,2021,22.78,12.33,24.03,11.79,607.4,523.49,17.1823115,-96.2645527
Capulálpam de Méndez,2022,23.29,11.95,24.24,11.26,468.0,549.41,17.1823115,-96.2645527
Capulálpam de Méndez,2023,24.74,13.03,26.02,12.67,284.2,586.08,17.1823115,-96.2645527
Capulálpam de Méndez,2024,26.06,13.48,27.09,13.02,371.8,617.57,17.1823115,-96.2645527
Capulálpam de Méndez,2025,24.43,13.66,25.46,13.49,459.4,578.0,17.1823115,-96.2645527
Capulálpam de Méndez,2026,23.86,12.58,24.58,12.12,205.0,288.85,17.1823115,-96.2645527
Chahuites,2020,32.32,23.53,36.5,27.28,321.4,691.91,16.1715392,-94.1144966
Chahuites,2021,32.0,23.43,36.13,27.14,731.1,675.62,16.1715392,-94.1144966
Chahuites,2022,32.07,23.17,36.28,26.86,624.2,673.78,16.1715392,-94.1144966
Chahuites,2023,33.56,23.99,38.1,27.79,536.5,709.38,16.1715392,-94.1144966
Chahuites,2024,33.2,23.29,37.62,26.52,797.6,714.19,16.1715392,-94.1144966
Chahuites,2025,33.52,23.84,37.49,26.75,703.9,762.67,16.1715392,-94.1144966
Chahuites,2026,34.6,23.22,36.75,25.21,384.5,432.25,16.1715392,-94.1144966
Chalcatongo de Hidalgo,2020,26.68,14.22,27.11,14.4,352.7,639.71,17.0155304,-97.3415562
Chalcatongo de Hidalgo,2021,26.3,13.89,26.87,14.08,519.6,623.46,17.0155304,-97.3415562
Chalcatongo de Hidalgo,2022,26.71,13.67,27.18,13.64,423.6,650.86,17.0155304,-97.3415562
Chalcatongo de Hidalgo,2023,27.48,14.09,28.22,14.42,449.9,655.66,17.0155304,-97.3415562
Chalcatongo de Hidalgo,2024,28.06,14.25,28.46,14.53,495.8,678.62,17.0155304,-97.3415562
Chalcatongo de Hidalgo,2025,26.58,13.94,27.33,14.26,523.8,645.08,17.0155304,-97.3415562
Chalcatongo de Hidalgo,2026,27.48,13.67,27.13,13.62,183.6,341.86,17.0155304,-97.3415562
Chiquihuitlán de Benito Juárez,2020,20.23,14.0,22.41,14.41,1885.5,471.79,17.5943582,-96.4443611
Chiquihuitlán de Benito Juárez,2021,19.82,13.95,22.01,14.48,1816.6,463.46,17.5943582,-96.4443611
Chiquihuitlán de Benito Juárez,2022,19.88,13.64,21.81,13.93,1403.2,486.86,17.5943582,-96.4443611
Chiquihuitlán de Benito Juárez,2023,20.75,14.81,23.23,15.45,1230.0,510.61,17.5943582,-96.4443611
Chiquihuitlán de Benito Juárez,2024,22.12,15.45,24.48,16.18,926.4,535.88,17.5943582,-96.4443611
Chiquihuitlán de Benito Juárez,2025,21.14,14.41,23.22,15.01,1474.3,512.87,17.5943582,-96.4443611
Chiquihuitlán de Benito Juárez,2026,20.09,13.45,22.15,13.62,869.1,253.15,17.5943582,-96.4443611
Ciudad Ixtepec,2020,31.73,24.46,33.77,26.22,191.9,823.75,16.3403714,-95.0555365
Ciudad Ixtepec,2021,31.09,24.17,33.31,26.13,686.9,768.86,16.3403714,-95.0555365
Ciudad Ixtepec,2022,31.26,24.08,33.45,25.89,434.1,788.52,16.3403714,-95.0555365
Ciudad Ixtepec,2023,32.88,25.11,35.26,27.44,266.3,850.26,16.3403714,-95.0555365
Ciudad Ixtepec,2024,31.67,24.52,34.41,26.96,834.1,778.67,16.3403714,-95.0555365
