clave_entidad,entidad,clave_municipio,municipio,longitud,latitud,poblacion
1,Aguascalientes,1,Aguascalientes,-102.1745768,21.5247362,948990
1,Aguascalientes,2,Asientos,-102.052139,22.1417941,51536
1,Aguascalientes,3,Calvillo,-102.4307502,21.5048866,58250
1,Aguascalientes,4,Cosío,-102.1800159,22.2159071,17000
1,Aguascalientes,5,Jesús María,-102.2036299,21.5740582,129929
1,Aguascalientes,6,Pabellón de Arteaga,-102.163555,22.0857126,47646
1,Aguascalientes,7,Rincón de Romos,-102.1923047,22.1345239,57369
1,Aguascalientes,8,San José de Gracia,-102.2456281,22.0900779,9552
1,Aguascalientes,9,Tepezalá,-102.1001097,22.132722,22485
1,Aguascalientes,10,El Llano,-101.5755106,21.5507929,20853
1,Aguascalientes,11,San Francisco de los Romo,-102.1621642,22.0420615,61997
2,Baja California,1,Ensenada,-116.3542482,31.4832198,443807
2,Baja California,2,Mexicali,-115.2832084,32.3828233,1049792
2,Baja California,3,Tecate,-116.3735581,32.3421644,108440
2,Baja California,4,Tijuana,-117.0108088,32.3156859,1922523
2,Baja California,5,Playas de Rosarito,-117.0316052,32.2149263,126890
2,Baja California,6,San Quintín,-115.5620621,30.3323347,117568
3,Baja California Sur,1,Comondú,-111.4024022,25.0204688,73021
3,Baja California Sur,2,Mulegé,-112.1605789,27.2012726,64022
3,Baja California Sur,3,La Paz,-110.1823724,24.0855482,292241
3,Baja California Sur,8,Los Cabos,-109.4141097,23.0341729,351111
3,Baja California Sur,9,Loreto,-111.2036,26.0046,18052
4,Campeche,1,Calkiní,-90.0302662,20.2216414,59232
4,Campeche,2,Campeche,-90.3222737,19.5041331,294077
4,Campeche,3,Carmen,-91.501122,18.3816042,248845
4,Campeche,4,Champotón,-90.4326008,19.2122387,78170
4,Campeche,5,Hecelchakán,-90.0804262,20.1037078,31917
4,Campeche,6,Hopelchén,-89.5042157,19.4443973,42140
4,Campeche,7,Palizada,-92.0527246,18.1512954,8683
4,Campeche,8,Tenabo,-90.1332748,20.0222837,11452
4,Campeche,9,Escárcega,-90.4355203,18.3615533,59923
4,Campeche,10,Calakmul,-89.2350192,18.3019335,31714
4,Campeche,11,Candelaria,-91.0246657,18.1100422,46913
4,Campeche,12,Seybaplaya,-90.4117884,19.3821109,15297
5,Coahuila de Zaragoza,1,Abasolo,-101.2535,27.1055,1022
5,Coahuila de Zaragoza,2,Acuña,-100.584173,29.194802,163058
5,Coahuila de Zaragoza,3,Allende,-100.5115,28.205,23056
5,Coahuila de Zaragoza,4,Arteaga,-100.5058641,25.2702234,29578
5,Coahuila de Zaragoza,5,Candela,-100.395,26.5025,1643
5,Coahuila de Zaragoza,6,Castaños,-101.255,26.4707,29128
5,Coahuila de Zaragoza,7,Cuatro Ciénegas,-102.0401564,26.5912709,12715
5,Coahuila de Zaragoza,8,Escobedo,-101.2445,27.1405,3047
5,Coahuila de Zaragoza,9,Francisco I. Madero,-103.1623,25.463,59035
5,Coahuila de Zaragoza,10,Frontera,-101.2658,26.5534,82409
5,Coahuila de Zaragoza,11,General Cepeda,-101.284545,25.2247667,11898
5,Coahuila de Zaragoza,12,Guerrero,-100.2243412,28.1830306,1643
5,Coahuila de Zaragoza,13,Hidalgo,-99.5233798,27.473005,1735
5,Coahuila de Zaragoza,14,Jiménez,-100.4027219,29.041311,9502
5,Coahuila de Zaragoza,15,Juárez,-100.4337631,27.3623423,1584
5,Coahuila de Zaragoza,16,Lamadrid,-101.4736957,27.0254577,1764
5,Coahuila de Zaragoza,17,Matamoros,-103.1349381,25.314129,118337
5,Coahuila de Zaragoza,18,Monclova,-101.2502008,26.5404472,237951
5,Coahuila de Zaragoza,19,Morelos,-100.5311873,28.2436376,7928
5,Coahuila de Zaragoza,20,Múzquiz,-101.3059464,27.5239179,71627
5,Coahuila de Zaragoza,21,Nadadores,-101.3531284,27.014451,6539
5,Coahuila de Zaragoza,22,Nava,-100.4603193,28.2518749,33129
5,Coahuila de Zaragoza,23,Ocampo,-102.2350657,27.1840374,9642
5,Coahuila de Zaragoza,24,Parras,-102.1103008,25.261457,44472
5,Coahuila de Zaragoza,25,Piedras Negras,-100.3142389,28.4229135,176327
5,Coahuila de Zaragoza,26,Progreso,-100.591404,27.254432,3239
5,Coahuila de Zaragoza,27,Ramos Arizpe,-100.5702815,25.3235641,122243
5,Coahuila de Zaragoza,28,Sabinas,-101.0711961,27.5055998,64811
5,Coahuila de Zaragoza,29,Sacramento,-101.4330129,27.0015979,2471
5,Coahuila de Zaragoza,30,Saltillo,-100.5958996,25.2517993,879958
5,Coahuila de Zaragoza,31,San Buenaventura,-101.3300103,27.0336926,24759
5,Coahuila de Zaragoza,32,San Juan de Sabinas,-101.1811856,27.5545805,42260
5,Coahuila de Zaragoza,33,San Pedro,-102.5859365,25.4528,101041
5,Coahuila de Zaragoza,34,Sierra Mojada,-103.4205244,27.1712757,6744
5,Coahuila de Zaragoza,35,Torreón,-103.2711018,25.3230312,720848
5,Coahuila de Zaragoza,36,Viesca,-102.4822861,25.2036979,20305
5,Coahuila de Zaragoza,37,Villa Unión,-100.4330558,28.1313792,6188
5,Coahuila de Zaragoza,38,Zaragoza,-100.5503438,28.2913355,13135
6,Colima,1,Armería,-103.575399,18.5613462,27626
6,Colima,2,Colima,-103.4341228,19.143452,157048
6,Colima,3,Comala,-103.4531684,19.1923515,21661
6,Colima,4,Coquimatlán,-103.4839301,19.1205076,20837
6,Colima,5,Cuauhtémoc,-103.3606698,19.1943588,31267
6,Colima,6,Ixtlahuacán,-103.4418936,19.0004261,5623
6,Colima,7,Manzanillo,-104.185897,19.0311541,191031
6,Colima,8,Minatitlán,-104.0258693,19.2309996,10231
6,Colima,9,Tecomán,-103.522564,18.5438175,116305
6,Colima,10,Villa de Álvarez,-103.4412331,19.1553195,149762
7,Chiapas,1,Acacoyagua,-92.4028622,15.2027475,17994
7,Chiapas,2,Acala,-92.482703,16.3306025,21187
7,Chiapas,3,Acapetahua,-92.4120875,15.1658216,26899
7,Chiapas,4,Altamirano,-92.0218937,16.4409313,36160
7,Chiapas,5,Amatán,-92.4908843,17.2222254,24512
7,Chiapas,6,Amatenango de la Frontera,-92.0654568,15.2606038,31735
7,Chiapas,7,Amatenango del Valle,-92.2607766,16.3142605,11283
7,Chiapas,8,Angel Albino Corzo,-92.4330287,15.522152,31947
7,Chiapas,9,Arriaga,-93.5358104,16.1409834,41135
7,Chiapas,10,Bejucal de Ocampo,-92.0930265,15.2719415,7365
7,Chiapas,11,Bella Vista,-92.1441445,15.3458791,20157
7,Chiapas,12,Berriozábal,-93.1623777,16.4801155,64632
7,Chiapas,13,Bochil,-92.5324788,16.594698,37263
7,Chiapas,14,El Bosque,-92.4317072,17.0343957,24273
7,Chiapas,15,Cacahoatán,-92.1005197,14.5923239,50112
7,Chiapas,16,Catazajá,-92.0058918,17.4341957,17619
7,Chiapas,17,Cintalapa,-93.4313541,16.4155256,88106
7,Chiapas,18,Coapilla,-93.0932479,17.0750849,9900
7,Chiapas,19,Comitán de Domínguez,-92.0809006,16.1508858,166178
7,Chiapas,20,La Concordia,-92.4116562,16.0700177,49920
7,Chiapas,21,Copainalá,-93.1238,17.0537,22192
7,Chiapas,22,Chalchihuitán,-92.3706223,16.5748257,21915
7,Chiapas,23,Chamula,-92.4121,16.4715,101967
7,Chiapas,24,Chanal,-92.1535792,16.3936223,13678
7,Chiapas,25,Chapultenango,-93.0748282,17.2025442,7472
7,Chiapas,26,Chenalhó,-92.3734133,16.5339397,47371
7,Chiapas,27,Chiapa de Corzo,-93.0057453,16.4228649,112075
7,Chiapas,28,Chiapilla,-92.431209,16.3413775,6156
7,Chiapas,29,Chicoasén,-93.0618846,16.5802118,5402
7,Chiapas,30,Chicomuselo,-92.1659834,15.444177,36785
7,Chiapas,31,Chilón,-92.1617502,17.0619769,137262
7,Chiapas,32,Escuintla,-92.393081,15.190937,30896
7,Chiapas,33,Francisco León,-93.1834407,17.2100635,7245
7,Chiapas,34,Frontera Comalapa,-92.082778,15.393659,80897
7,Chiapas,35,Frontera Hidalgo,-92.103354,14.4640215,14556
7,Chiapas,36,La Grandeza,-92.1333168,15.3036469,7701
7,Chiapas,37,Huehuetán,-92.2303051,15.0106671,36333
7,Chiapas,38,Huixtán,-92.2716549,16.4243742,22975
7,Chiapas,39,Huitiupán,-92.4109355,17.1023634,27893
7,Chiapas,40,Huixtla,-92.2756944,15.0817839,53242
7,Chiapas,41,La Independencia,-92.0125828,16.1514946,46409
7,Chiapas,42,Ixhuatán,-93.0030175,17.1735775,11377
7,Chiapas,43,Ixtacomitán,-93.0547661,17.2550862,10961
7,Chiapas,44,Ixtapa,-92.542125,16.4812691,28999
7,Chiapas,45,Ixtapangajoya,-93.0005997,17.295114,6284
7,Chiapas,46,Jiquipilas,-93.3901711,16.4003797,41063
7,Chiapas,47,Jitotol,-92.514441,17.0404683,24966
7,Chiapas,48,Juárez,-93.1135991,17.3629344,21807
7,Chiapas,49,Larráinzar,-92.424773,16.5304006,31259
7,Chiapas,50,La Libertad,-91.4308624,17.4124491,5232
7,Chiapas,51,Mapastepec,-92.5329781,15.2628083,46130
7,Chiapas,52,Las Margaritas,-91.5853646,16.185741,141027
7,Chiapas,53,Mazapa de Madero,-92.1115845,15.2316677,7901
7,Chiapas,54,Mazatán,-92.2658095,14.5146891,28250
7,Chiapas,55,Metapa,-92.1127401,14.5014331,5876
7,Chiapas,56,Mitontic,-92.3746745,16.5152095,13755
7,Chiapas,57,Motozintla,-92.145188,15.2147402,76398
7,Chiapas,58,Nicolás Ruíz,-92.350725,16.2613463,4765
7,Chiapas,59,Ocosingo,-92.0544976,16.5428938,234661
7,Chiapas,60,Ocotepec,-93.0951859,17.1330105,14088
7,Chiapas,61,Ocozocoautla de Espinosa,-93.2232349,16.4541263,97397
7,Chiapas,62,Ostuacán,-93.2013691,17.2420128,18469
7,Chiapas,63,Osumacinta,-93.0528814,16.5607681,3983
7,Chiapas,64,Oxchuc,-92.20057,16.471003,54932
7,Chiapas,65,Palenque,-91.585172,17.303288,132265
7,Chiapas,66,Pantelhó,-92.2810487,17.0023971,26391
7,Chiapas,67,Pantepec,-93.0258365,17.1117131,12266
7,Chiapas,68,Pichucalco,-93.0703963,17.3030783,31919
7,Chiapas,69,Pijijiapan,-93.1233541,15.4130025,51193
7,Chiapas,70,El Porvenir,-92.1646705,15.2722922,12263
7,Chiapas,71,Villa Comaltitlán,-92.3433687,15.1242975,30297
7,Chiapas,72,Pueblo Nuevo Solistahuacán,-92.535036,17.0927245,29636
7,Chiapas,73,Rayón,-93.0040382,17.1201812,10866
7,Chiapas,74,Reforma,-93.0849589,17.5156923,44829
7,Chiapas,75,Las Rosas,-92.221049,16.2150875,28829
7,Chiapas,76,Sabanilla,-92.3306192,17.1700543,29889
7,Chiapas,77,Salto de Agua,-92.2000319,17.3325275,64251
7,Chiapas,78,San Cristóbal de las Casas,-92.381523,16.441328,215874
7,Chiapas,79,San Fernando,-93.1222625,16.5218163,41793
7,Chiapas,80,Siltepec,-92.1922296,15.3325866,25937
7,Chiapas,81,Simojovel,-92.425475,17.0826974,52935
7,Chiapas,82,Sitalá,-92.1827874,17.0130183,15518
7,Chiapas,83,Socoltenango,-92.2101137,16.1434618,19092
7,Chiapas,84,Solosuchiapa,-93.0152246,17.254316,8561
7,Chiapas,85,Soyaló,-92.5531044,16.5327573,10890
7,Chiapas,86,Suchiapa,-93.0617258,16.3719049,25627
7,Chiapas,87,Suchiate,-92.0903392,14.4046028,41672
7,Chiapas,88,Sunuapa,-93.143541,17.292176,2308
7,Chiapas,89,Tapachula,-92.1551552,14.5439857,353706
