fecha,estado,latitud,longitud,temp_max,temp_min,temp_app_max,temp_app_min,lluvia_acumulada,evapotranspiracion
01/01/2020,Aguascalientes,21.8823,-102.2826,21.8,11,15.6,8.8,0.7,3.76
02/01/2020,Aguascalientes,21.8823,-102.2826,15.7,8.2,9.8,4.3,9.4,2.08
03/01/2020,Aguascalientes,21.8823,-102.2826,19.3,3.4,14.8,-0.5,0,3.34
04/01/2020,Aguascalientes,21.8823,-102.2826,17.1,0.4,11.9,-5,0,3.54
05/01/2020,Aguascalientes,21.8823,-102.2826,20.3,0.5,16.3,-3.9,0,3.85
06/01/2020,Aguascalientes,21.8823,-102.2826,20.6,1,17,-3.2,0,3.6
07/01/2020,Aguascalientes,21.8823,-102.2826,18.1,7.4,13.5,3.3,0,3.62
08/01/2020,Aguascalientes,21.8823,-102.2826,19.4,2.9,15.9,-0.3,0,3.15
09/01/2020,Aguascalientes,21.8823,-102.2826,22.4,5.2,19.7,2.6,0,3.55
10/01/2020,Aguascalientes,21.8823,-102.2826,23.1,7.3,18.1,4.7,0,4.23
11/01/2020,Aguascalientes,21.8823,-102.2826,23.2,7.3,20.5,3.9,0,4.15
12/01/2020,Aguascalientes,21.8823,-102.2826,22.3,5.5,19.3,2.2,0,3.37
13/01/2020,Aguascalientes,21.8823,-102.2826,24.5,7.2,23.1,3.7,0,3.75
14/01/2020,Aguascalientes,21.8823,-102.2826,24,8.3,22.2,5.9,0,3.49
15/01/2020,Aguascalientes,21.8823,-102.2826,24.4,8.1,23,5.8,0,3.62
16/01/2020,Aguascalientes,21.8823,-102.2826,24.7,10.6,23.2,8.9,0,3.58
17/01/2020,Aguascalientes,21.8823,-102.2826,21.4,10.5,20,8.6,1.2,3.09
18/01/2020,Aguascalientes,21.8823,-102.2826,23.1,10.8,21.4,9,0,3.17
19/01/2020,Aguascalientes,21.8823,-102.2826,21.7,11.5,19.6,9.8,3.6,2.58
20/01/2020,Aguascalientes,21.8823,-102.2826,20.6,8.2,20,6.1,0,3.36
21/01/2020,Aguascalientes,21.8823,-102.2826,20.8,5.5,18.7,2.7,0,3.4
22/01/2020,Aguascalientes,21.8823,-102.2826,22.3,9.3,18.8,7.6,0,3.86
23/01/2020,Aguascalientes,21.8823,-102.2826,18.4,10.5,15.5,8.4,0,2.36
24/01/2020,Aguascalientes,21.8823,-102.2826,20.8,6,18.2,4.3,0,3.52
25/01/2020,Aguascalientes,21.8823,-102.2826,19.2,10.4,15.8,8.7,0.8,2.4
26/01/2020,Aguascalientes,21.8823,-102.2826,19.5,10.6,17.1,8.7,3.5,2.83
27/01/2020,Aguascalientes,21.8823,-102.2826,21.2,5.9,17.4,3.8,0,3.77
28/01/2020,Aguascalientes,21.8823,-102.2826,21.5,5,18.5,2.1,0,4.15
29/01/2020,Aguascalientes,21.8823,-102.2826,21.9,5.4,17.2,0.5,0,5.03
30/01/2020,Aguascalientes,21.8823,-102.2826,19.7,9,13.7,6.1,0,4.22
31/01/2020,Aguascalientes,21.8823,-102.2826,20.2,6.3,15.3,4.9,0,3.19
01/02/2020,Aguascalientes,21.8823,-102.2826,17.7,7.5,13,1.7,0,3.93
02/02/2020,Aguascalientes,21.8823,-102.2826,17.3,9,15.5,6.1,1.4,1.9
03/02/2020,Aguascalientes,21.8823,-102.2826,12.6,8,10.9,6.4,13.8,0.68
04/02/2020,Aguascalientes,21.8823,-102.2826,18.6,9.4,14.1,6.4,1.1,2.91
05/02/2020,Aguascalientes,21.8823,-102.2826,16.8,8.8,12,5.4,3,2.64
06/02/2020,Aguascalientes,21.8823,-102.2826,19.4,4.9,16.1,1,0,3.88
07/02/2020,Aguascalientes,21.8823,-102.2826,22.9,4.4,19.4,0.9,0,4.29
08/02/2020,Aguascalientes,21.8823,-102.2826,22.1,4.9,19.1,1.3,0,4.04
09/02/2020,Aguascalientes,21.8823,-102.2826,23.6,5.9,20.6,2.5,0,4.35
10/02/2020,Aguascalientes,21.8823,-102.2826,25.1,9.3,22,7.8,0,4.36
11/02/2020,Aguascalientes,21.8823,-102.2826,25.5,9.7,22.2,8.6,0,4.9
12/02/2020,Aguascalientes,21.8823,-102.2826,23.3,8.9,18.1,7.6,0,4.52
13/02/2020,Aguascalientes,21.8823,-102.2826,24.3,7.6,21.2,5.6,0,4.81
14/02/2020,Aguascalientes,21.8823,-102.2826,24.5,6.8,22.3,3.9,0,4.57
